Message Type,Received UTC,MMSI,Ship Name,Latitude,Longitude,Speed Over Ground (knots),Course Over Ground,True Heading,Timestamp (sec),Is Valid,Call Sign,Destination,Ship Type,Dimensions
StandardClassBPositionReport,15:03:03,329016150,LIBERTE,43.3613,5.30203,0.0,188.7,511.0,1.0,True,,,,
StandardClassBPositionReport,15:03:03,503621700,,37.66846,24.32152,0.0,0.0,0.0,60.0,True,,,,
PositionReport,15:03:03,605116704,IGILGILI I,36.82021,5.89584,0.0,87.0,87.0,60.0,True,,,,
DataLinkManagementMessage,15:03:03,2241047,CULLERA,39.18651,-0.21694,,,,,True,,,,
StandardClassBPositionReport,15:03:03,211711160,SEDONA,42.33965,9.54169,0.0,360.0,511.0,0.0,True,,,,
ChannelManagement,15:03:03,2241048,VALENCIA,39.43412,-0.30318,,,,,True,,,,
UnknownMessage,15:03:04,271051876,AQUA BELLA,36.66752,28.04511,,,,,,,,,
PositionReport,15:03:04,255915884,SKY LBS,37.36135,2.20421,7.2,76.8,80.0,0.0,True,,,,
PositionReport,15:03:04,636014998,KUDURO,35.92247,16.63413,13.1,284.4,284.0,3.0,True,,,,
PositionReport,15:03:04,368209830,M/Y CROCUS,37.44288,24.94275,0.0,277.1,0.0,2.0,True,,,,
StaticDataReport,15:03:04,232055580,ELVINA,37.03398,27.42518,,,,,True,,,,
StaticDataReport,15:03:04,207835250,ETERNAL FLAME,43.30092,28.05207,,,,,True,,,,
PositionReport,15:03:04,247074100,MARINA PICCOLA,40.835,14.28817,2.6,240.0,511.0,3.0,True,,,,
PositionReport,15:03:04,228299600,VB ESTEREL,43.39754,4.98413,0.0,241.2,332.0,2.0,True,,,,
PositionReport,15:03:04,247049100,TOURIST F. BOAT 2,41.07284,13.34126,11.0,57.3,511.0,2.0,True,,,,
ShipStaticData,15:03:04,247257300,CORONA BOREALE,40.479,17.21272,,,,,True,IKVG2,ITTAR,70.0,"{'A': 133, 'B': 33, 'C': 13, 'D': 11}"
PositionReport,15:03:04,352965000,YAKOOT,39.43411,-0.32642,0.0,0.0,113.0,60.0,True,,,,
PositionReport,15:03:04,304204000,AK ANA,37.36035,24.94059,0.1,110.9,42.0,3.0,True,,,,
PositionReport,15:03:04,240663700,PANAGIA EVAGELISTRIA,36.27785,27.82019,13.9,299.8,511.0,2.0,True,,,,
PositionReport,15:03:04,273270940,VOZROZHDENIYE,36.81999,0.417,11.3,252.2,252.0,1.0,True,,,,
PositionReport,15:03:04,239672000,KISSAMOS,37.9474,23.63717,0.0,306.3,180.0,2.0,True,,,,
PositionReport,15:03:04,212912000,EUROCHAMPION JET,37.8153,23.67787,38.1,336.7,336.0,3.0,True,,,,
StandardClassBPositionReport,15:03:04,211141520,MAVI MAR,43.56503,7.07754,0.0,360.0,511.0,2.0,True,,,,
StandardClassBPositionReport,15:03:04,225982867,FLY BLUE TRES,36.71834,-4.4137,0.9,183.8,511.0,2.0,True,,,,
PositionReport,15:03:04,232066471,HANUMAN,39.56417,2.63063,0.0,161.3,97.0,2.0,True,,,,
StandardClassBPositionReport,15:03:04,227222280,DESERT ROSE,34.66782,33.04064,0.0,237.8,511.0,2.0,True,,,,
StandardClassBPositionReport,15:03:04,232016369,,39.08976,1.44898,0.2,43.0,511.0,2.0,True,,,,
StandardClassBPositionReport,15:03:04,211477080,SERENITY,41.43533,2.24289,0.0,360.0,511.0,14.0,True,,,,
PositionReport,15:03:04,636024753,CONTSHIP SKY,36.00496,-0.42971,12.9,33.0,26.0,60.0,True,,,,
StandardClassBPositionReport,15:03:05,211760200,EOS,39.33027,0.55051,5.1,112.7,511.0,3.0,True,,,,
PositionReport,15:03:05,636092930,CHENNAI EXPRESS,37.74716,-0.3305,11.9,35.0,39.0,60.0,True,,,,
PositionReport,15:03:05,312791000,MERAIO,40.93978,28.8537,0.0,154.1,51.0,51.0,True,,,,
PositionReport,15:03:05,341280002,YUSUF BEY,40.47566,17.2029,0.0,102.2,341.0,2.0,True,,,,
PositionReport,15:03:05,319239800,ENERGY,43.7087,7.36456,0.0,19.3,205.0,2.0,True,,,,
PositionReport,15:03:05,319134300,VOLPINI 2,43.70854,7.34837,0.0,126.8,172.0,1.0,True,,,,
PositionReport,15:03:05,228438700,CANOPEE,45.20484,-0.73468,14.3,343.0,344.0,4.0,True,,,,
PositionReport,15:03:05,271010664,,41.20593,29.12779,0.0,0.0,511.0,3.0,True,,,,
PositionReport,15:03:05,224298290,OMARSUB,39.45534,-0.30814,0.0,263.1,288.0,4.0,True,,,,
PositionReport,15:03:05,240870000,AEGEAN TIFFANY,37.89526,23.51735,8.0,230.0,0.0,4.0,True,,,,
PositionReport,15:03:05,372497000,MSC ORCHESTRA,44.4117,8.91763,0.1,48.7,180.0,3.0,True,,,,
