MMSI,Ship Name,lat,lon,low_confidence,n_pings,score,is_anomalous,flags,reason
249343000,SARAJEVO,45.61156,13.78632,False,5,0.74,False,,
249347000,HAFNIA DAISY,36.05805,-4.7927,True,2,,,,only 2 ping(s) - not enough data to score reliably
249348000,NEW GEMINI,37.91647,23.54943,False,3,1.04,False,signal gap of 745s,
249354000,AVALON 101,38.84278,0.11262,False,3,1.14,False,signal gap of 736s,
249356000,AMFITRITI,37.16969,2.54373,False,9,0.62,False,,
249368000,OCHO,38.00006,12.34672,False,3,1.14,False,signal gap of 734s,
249373000,MIA RAMA,37.93874,23.66858,False,5,1.0,False,,
249378000,SOLID,43.51523,6.93955,False,12,1.13,False,,
249389000,SAUDADE,39.56507,2.6389,False,3,0.75,False,,
249404000,LUCKY YOU,40.61497,14.10773,False,18,0.48,False,,
249410000,RINI,37.93198,23.68224,True,2,,,,only 2 ping(s) - not enough data to score reliably
249414000,PAOLO,39.43109,-0.31713,False,3,1.01,False,signal gap of 730s,
249415000,SUMMERSALT,37.92877,23.68382,False,3,0.63,False,,
249421000,HITRA,38.21133,15.26428,False,6,0.96,False,,
249435000,CIELO DI CAPRI,42.04341,15.03485,False,3,1.76,False,signal gap of 1265s,
249447000,ATHENA I,37.93231,23.67988,False,5,1.22,False,,
249450000,L'INSTANT,37.93301,23.64803,True,2,,,,only 2 ping(s) - not enough data to score reliably
249457000,CELEBRITY XCEL,35.95415,19.01963,False,11,0.81,False,,
249462000,YM URANUS,41.28938,2.17722,False,8,1.47,False,,
249491000,PENGUINS,43.75692,7.6083,True,1,,,,only 1 ping(s) - not enough data to score reliably
249501000,BIG EASY,37.9385,23.66867,False,6,0.99,False,,
249507000,,43.52569,7.04699,True,1,,,,only 1 ping(s) - not enough data to score reliably
249522000,CMA CGM MEDEA,43.1779,7.62067,False,12,0.72,False,,
249526000,BUCCARA SEA FALCON I,39.5184,2.46406,True,1,,,,only 1 ping(s) - not enough data to score reliably
249533000,CMA CGM ARGON,31.4362,32.45547,False,3,0.78,False,,
249553000,PALATIAL,37.96018,23.5739,True,1,,,,only 1 ping(s) - not enough data to score reliably
249558000,TITAN,37.956,23.57966,False,4,1.12,False,,
249573000,DAY OFF,37.92862,23.684,False,6,0.76,False,,
249595000,KEA X,43.86133,10.24112,False,3,0.32,False,,
249597000,SPARTA,43.74579,7.45067,False,3,0.48,False,,
249599000,BALISTA,37.96061,23.56653,False,3,1.35,False,signal gap of 883s,
249613000,LIONHEART,43.53533,7.06448,True,1,,,,only 1 ping(s) - not enough data to score reliably
249615000,ARAGORN,43.56137,7.11522,False,3,0.62,False,,
249627000,ENTHUSIAST,43.58682,7.12637,False,3,1.25,False,signal gap of 901s,
249629000,,39.56401,2.63836,True,1,,,,only 1 ping(s) - not enough data to score reliably
249639000,MARELLA DISCOVERY,34.65348,33.02206,False,5,1.22,False,,
249660000,MEIN SCHIFF 6,41.35891,2.17839,False,7,0.83,False,,
249667000,CELEBRITY EQUINOX,37.93722,23.62439,True,2,,,,only 2 ping(s) - not enough data to score reliably
249670000,THE IDLER,43.57865,7.13207,False,4,0.75,False,,
249700000,FORTITUDE1,37.32489,23.14698,False,3,1.49,False,signal gap of 1074s,
249712000,MEIN SCHIFF FLOW,38.74826,5.64887,False,14,0.74,False,,
249713000,COCO Y,43.55866,7.14268,False,5,1.53,False,,
249730000,QUASAR,41.0462,9.53043,False,4,1.36,False,signal gap of 900s,
249743000,D'ONE D,43.73681,7.42396,False,3,1.23,False,signal gap of 886s,
249748000,ANOTHER ONE,40.9099,12.97258,True,1,,,,only 1 ping(s) - not enough data to score reliably
249749000,MOSS,37.83137,15.27486,False,11,1.24,False,,
249754000,,43.58562,7.12373,False,3,0.92,False,,
249756000,ARISTARCHOS1,43.16615,6.68043,False,12,1.03,False,,
249759000,JULES,43.5418,10.29725,True,1,,,,only 1 ping(s) - not enough data to score reliably
249760000,BUCCARA LATITUDE,37.30634,7.66964,True,2,,,,only 2 ping(s) - not enough data to score reliably
249762000,PEARL LIGHT,31.20654,29.74047,False,3,0.85,False,,
249768000,CASERTA,37.93379,23.6796,False,4,0.87,False,,
249800000,,38.86352,1.31804,True,1,,,,only 1 ping(s) - not enough data to score reliably
249804000,SUMMER LADY,35.99802,35.01767,False,7,0.91,False,,
249809000,THE AQUARIUS,40.8266,14.22474,False,5,0.97,False,,
249818000,LADY IN BLUE,41.45299,9.69287,False,3,1.17,False,,
249821000,SPRING S,41.33882,2.15384,False,6,1.2,False,,
249845000,BELLDIA,42.25582,8.61176,False,6,0.84,False,,
249846000,LA VETTA,45.53562,13.65345,True,2,,,,only 2 ping(s) - not enough data to score reliably
249867000,BLADE6,37.94162,23.66906,False,13,1.28,False,,
249891000,CGAS NEPTUNE,37.22796,15.20064,True,2,,,,only 2 ping(s) - not enough data to score reliably
249902000,BLUE SYMPHONIE,38.03655,23.49967,False,4,0.75,False,,
249930000,ESKE,39.95544,0.02275,False,5,0.51,False,,
